is_sponsored,lang,num_repos,num_own_repos,num_repos_top_contributing,highest_stars,num_sponsoring,num_repos_top_co_contributing
1,JavaScript,1514,903,994,150576,22,994
1,Emacs Lisp,1000,19,74,672,0,16
1,Go,979,284,311,5384,0,76
1,Python,859,13,18,7856,0,1
1,JavaScript,817,6,11,6158,0,3
1,JavaScript,762,443,485,5582,0,69
1,Python,721,13,34,8107,0,4
1,PHP,720,22,71,10987,1,71
1,JavaScript,709,62,98,24538,0,26
1,JavaScript,684,207,462,51529,2,462
0,JavaScript,674,4,10,489,0,1
1,TypeScript,595,81,142,8901,10,142
1,PHP,577,1,24,1698,0,13
1,PHP,565,0,4,255,21,4
1,PHP,535,10,69,953,2,69
0,JavaScript,529,23,62,35205,0,21
1,JavaScript,512,16,14,2589,1,14
1,PHP,474,2,26,571,0,9
1,Java,451,6,7,310,2,7
1,JavaScript,436,120,153,915,0,31
1,JavaScript,428,120,212,6522,4,212
0,PHP,426,1,3,130,0,0
1,JavaScript,417,28,78,21706,1,78
1,JavaScript,413,67,99,2309,0,16
1,JavaScript,407,39,48,8620,0,11
1,JavaScript,403,16,33,1856,0,13
1,JavaScript,399,232,332,5704,1,332
1,Emacs Lisp,396,14,39,4817,3,39
0,JavaScript,388,31,59,10391,10,59
1,JavaScript,386,8,35,14437,0,10
1,JavaScript,375,271,286,5112,0,43
1,JavaScript,370,118,174,24929,0,34
1,PHP,359,44,77,9840,24,77
1,JavaScript,356,132,173,1888,0,32
1,JavaScript,356,103,168,17241,0,47
1,Python,353,37,74,5333,0,30
1,PHP,331,1,9,85,0,4
1,PHP,327,2,113,24505,0,91
1,PHP,326,27,50,6390,2,50
1,JavaScript,319,35,64,5405,3,64
1,JavaScript,315,24,115,103723,19,115
1,PHP,306,19,36,12052,3,36
1,PHP,306,11,26,646,0,11
0,PHP,302,9,10,402,7,10
1,C++,293,4,6,256,2,6
1,JavaScript,292,10,14,2161,0,7
1,PHP,288,11,27,24611,0,15
0,C,288,6,9,202,0,2
0,Java,284,101,140,37353,0,29
1,Java,282,9,14,577,0,4
1,JavaScript,282,31,68,6530,5,68
1,JavaScript,281,49,197,3834,6,197
1,PHP,279,13,220,6016,0,171
0,Ruby,271,20,50,42006,0,14
1,PHP,270,4,6,9876,0,2
1,Python,269,71,170,4080,0,16
1,Python,262,24,34,762,0,6
1,JavaScript,260,13,48,509,0,10
1,Scala,258,12,21,1806,0,4
1,JavaScript,255,93,121,2712,0,17
1,Ruby,253,5,23,3760,0,7
1,PHP,253,2,90,7206,0,80
1,Go,250,23,67,6807,0,7
1,JavaScript,250,100,121,24978,0,19
1,PHP,249,8,14,27095,0,3
0,PHP,246,3,4,96,0,4
1,Python,245,9,18,816,0,3
1,JavaScript,244,144,140,1720,0,18
1,C,242,101,117,8940,0,19
0,JavaScript,242,37,79,12677,1,19
1,C#,242,13,22,3190,4,22
1,Go,239,46,52,5033,0,6
1,Ruby,236,9,36,3381,19,36
1,JavaScript,235,0,16,2896,0,3
1,Go,234,101,108,9062,0,15
1,JavaScript,232,28,61,3019,1,61
1,PHP,232,6,7,662,0,2
1,Python,232,16,26,3662,0,8
0,Java,229,0,13,271,0,5
1,Clojure,229,60,64,6932,0,9
1,PHP,228,0,6,345,0,1
1,PHP,227,2,5,9722,0,1
1,Ruby,226,67,67,582,0,10
0,PHP,226,23,36,399,0,12
1,JavaScript,226,15,17,1310,0,2
1,JavaScript,225,43,90,32079,0,9
1,Rust,224,63,77,3789,0,23
1,Julia,221,10,67,1605,0,8
1,Ruby,220,33,73,9231,0,15
1,Java,219,3,5,390,0,1
1,JavaScript,217,102,107,4500,1,107
1,Rust,215,23,22,4344,0,2
1,PHP,215,0,2,196,0,1
0,C++,215,5,16,654,0,6
1,JavaScript,215,44,121,178094,6,121
1,Perl,213,22,47,1403,6,47
1,C++,213,1,3,870,0,3
1,PHP,211,3,33,6628,11,33
1,JavaScript,210,31,31,151,2,31
1,Ruby,210,35,54,2485,0,13
0,Python,210,12,20,791,1,20
1,OCaml,209,14,18,1037,1,18
1,Shell,209,158,161,4143,11,161
1,JavaScript,209,5,89,10731,3,89
1,Clojure,208,6,14,2837,0,8
1,JavaScript,205,1,2,239,0,2
1,Go,205,2,4,37,0,2
0,Python,204,10,19,2956,0,3
1,JavaScript,203,10,28,7252,1,28
1,JavaScript,202,7,66,33053,0,23
1,C,201,5,7,373,0,0
0,C++,200,7,7,419,0,1
1,Ruby,200,23,29,164,3,29
0,Julia,199,5,7,31,0,1
1,JavaScript,198,106,126,3675,0,16
1,Java,197,19,32,540,1,32
1,PHP,197,26,67,8762,2,67
1,Ruby,197,23,30,345,5,30
1,JavaScript,197,139,172,9760,0,24
1,JavaScript,196,36,22,3069,5,22
1,JavaScript,194,19,22,5618,9,22
1,Go,194,77,124,19085,0,42
1,C++,193,6,10,4590,0,2
1,JavaScript,193,7,47,361,0,3
1,JavaScript,192,42,71,7958,1,13
1,PHP,191,1,124,63416,15,124
1,JavaScript,191,4,12,243,0,1
1,C,189,2,15,2177,0,12
1,PHP,188,5,18,3142,0,8
1,JavaScript,188,109,106,3212,0,16
1,JavaScript,186,19,30,3560,0,9
1,C#,185,20,24,318,0,5
1,R,184,45,62,1169,0,10
1,Elixir,183,16,35,3754,0,16
1,Ruby,183,10,12,306,0,0
1,C++,181,29,30,25836,13,30
0,PHP,181,0,23,1374,0,10
0,Haxe,181,16,20,119,0,2
1,Python,181,58,89,2698,0,12
1,C,181,40,54,6919,0,5
1,PHP,179,4,36,3692,2,36
1,Go,179,21,26,5753,2,26
0,Python,177,5,8,1173,0,0
1,Nix,177,11,30,7035,1,30
1,C#,177,87,102,1142,5,102
1,JavaScript,177,16,22,49319,1,22
0,PHP,176,6,56,1148,0,16
1,Rust,176,13,32,1304,0,17
0,JavaScript,175,23,87,1166,3,87
1,JavaScript,174,52,66,7726,5,66
1,PHP,174,26,35,1083,3,35
1,JavaScript,173,36,31,13491,0,14
1,PureScript,173,46,49,227,0,11
0,R,172,19,32,1307,0,5
1,Go,172,6,19,834,1,19
1,JavaScript,170,36,39,1369,3,39
1,C,170,7,14,2339,0,2
1,Go,170,37,65,2035,0,33
