num_repos,num_own_repos,top_star,num_sponsoring
60,1,15627,43
9,5,7521,34
0,0,0,33
22,2,3167,27
140,5,47932,23
359,44,29248,23
5,0,6080,23
1514,903,150576,21
71,2,24752,21
2,0,34,21
50,1,69841,20
85,0,22951,20
49,2,29654,19
67,5,32733,19
45,6,19224,19
111,10,178094,18
236,9,17804,18
75,8,20684,18
1,0,22,18
7,0,8814,18
0,0,0,17
315,24,162097,17
565,0,63416,17
0,0,0,17
115,22,39174,17
26,7,7671,17
95,12,112849,17
78,8,24929,16
6,1,1096,16
36,0,7753,16
40,5,22951,16
3,0,543,15
28,3,49451,15
160,24,63416,15
12,1,3877,15
14,0,234,15
10,0,22951,14
34,12,1634,14
191,1,63416,14
1,1,12,14
17,1,11308,14
60,17,20684,14
89,3,162097,13
24,7,3564,13
0,0,0,13
9,0,4590,13
70,6,14517,13
32,2,8313,13
3,0,3065,13
42,8,51052,13
0,0,0,12
60,20,63416,12
154,6,35588,12
3,0,3069,12
0,0,0,12
0,0,0,12
4,0,789,12
74,7,75976,11
21,0,22951,11
14,1,6134,11
32,0,11891,11
108,22,39488,11
2,0,45,11
59,3,5685,11
56,13,25836,11
31,0,12631,11
2,0,788,11
31,5,25439,11
3,0,4590,10
19,0,6555,10
5,0,3620,10
78,5,16940,10
42,1,66136,10
2,0,17,10
35,6,9850,10
32,7,14459,10
11,1,1389,10
53,3,4817,10
8,0,2664,10
17,2,24155,10
27,2,150576,10
14,0,12310,10
182,52,54939,10
1,1,32,10
11,1,5990,10
26,2,3383,10
1,0,254,10
72,2,47932,10
13,1,6156,10
2,2,118,10
100,9,112849,10
31,0,862,10
81,49,150576,10
39,7,9724,10
12,2,10773,10
40,1,11308,10
3,0,9638,10
24,5,5261,10
64,5,18030,10
44,6,19676,9
0,0,0,9
17,1,24173,9
115,10,55184,9
47,8,18030,9
84,9,59411,9
8,0,787,9
4,2,9720,9
13,2,9902,9
209,158,46486,9
6,2,1810,9
13,4,5422,9
8,0,2615,9
14,2,3692,9
78,19,29248,9
0,0,0,9
19,1,2097,9
37,7,30140,9
44,15,13353,9
181,29,31296,9
0,0,0,9
267,19,162097,9
46,0,1166,9
108,10,52943,9
808,5,12359,9
194,19,68867,9
37,8,12584,9
595,81,162097,9
39,1,46983,9
15,0,12555,9
53,2,23333,9
20,8,1280,9
28,1,24303,9
12,0,33053,9
12,1,9260,9
92,5,42434,9
150,2,7274,9
22,2,6999,9
47,7,47516,9
17,5,20204,9
5,1,5786,8
9,0,746,8
29,9,42316,8
2,0,207,8
24,1,1841,8
12,1,27146,8
388,31,150576,8
48,13,150576,8
25,6,12450,8
32,0,2540,8
1,0,1038,8
50,13,29248,8
0,0,0,8
36,2,8555,8
14,0,7671,8
0,0,0,8
6,1,27146,8
211,3,150576,8
6,0,11766,8
37,1,6134,8
16,2,4850,8
8,0,3077,8
45,2,24611,8
65,6,178094,8
1,0,37,8
30,5,13245,8
0,0,0,8
1,0,90,8
30,12,178094,8
185,69,51052,8
7,7,64,8
79,13,28000,8
74,42,178094,8
66,0,33806,8
35,1,17804,8
10,0,1079,8
1,0,32,8
187,32,87845,8
41,0,32733,8
8,0,2879,8
18,0,21952,7
54,12,28894,7
40,5,5052,7
32,0,67174,7
30,0,32357,7
72,7,19104,7
84,1,4840,7
51,7,112849,7
94,6,67174,7
39,21,16417,7
106,6,92756,7
32,13,33053,7
28,3,36440,7
3,0,2661,7
4,0,7265,7
15,7,3521,7
2,0,281,7
87,3,27054,7
0,0,0,7
16,2,4471,7
18,4,191,7
67,0,39437,7
168,15,27054,7
26,12,448,7
45,10,40522,7
61,3,29334,7
0,0,0,7
106,1,24505,7
85,6,25813,7
11,0,4141,7
2,0,18,7
88,2,92756,7
59,2,24611,7
0,0,0,7
0,0,0,7
53,0,16800,7
45,1,60057,7
7,0,10379,7
3,0,49,7
128,0,21706,7
33,8,17758,7
40,2,21706,7
21,2,21360,7
42,9,178094,7
41,6,22321,7
30,1,4497,7
54,18,18181,7
35,3,51052,7
5,2,15594,7
6,0,2910,7
14,0,10634,7
8,2,1597,7
1,0,234,7
5,0,4840,7
45,20,25175,7
6,0,22321,7
2,0,788,7
448,155,162097,7
4,0,1979,7
21,0,15290,7
64,10,33806,7
80,6,63416,7
20,3,7517,7
9,0,2841,7
8,3,1563,7
23,4,15748,7
4,0,47516,7
5,0,51695,7
0,0,0,7
44,1,54090,7
16,0,28251,7
12,0,17329,7
65,8,63416,6
0,0,0,6
29,1,68122,6
1,0,647,6
127,3,51052,6
213,22,21952,6
109,18,54416,6
159,65,150576,6
19,0,754,6
33,7,18713,6
5,0,771,6
28,5,11622,6
26,2,112849,6
6,2,534,6
34,4,28826,6
11,1,4224,6
20,3,21131,6
28,0,88738,6
26,3,49451,6
0,0,0,6
11,0,3571,6
41,16,33629,6
28,5,3380,6
19,1,9263,6
16,2,38543,6
21,3,6032,6
8,1,287,6
162,38,75976,6
2,0,21475,6
27,1,27146,6
24,1,8376,6
88,11,67734,6
108,13,47387,6
16,2,10194,6
11,3,29151,6
7,1,16861,6
24,7,26472,6
2,0,1002,6
22,4,14687,6
1,0,20,6
77,0,18296,6
1,0,105,6
0,0,0,6
3,0,105,6
15,0,5750,6
97,47,80716,6
86,1,63416,6
0,0,0,6
32,3,21028,6
215,44,178094,6
10,0,556,6
4,0,6706,6
6,0,1987,6
135,2,46486,6
25,3,42381,6
3,0,4964,6
11,1,969,6
227,1,44341,6
12,1,3077,6
52,2,21360,6
53,1,33806,6
29,10,19933,6
0,0,0,6
12,4,4845,6
30,5,3381,6
62,0,15430,6
25,1,4832,6
76,1,24611,6
31,2,142905,6
0,0,0,6
65,21,36440,6
18,0,1187,6
147,5,54778,6
63,9,54939,6
77,34,9356,6
0,0,0,6
0,0,0,6
29,6,15748,6
11,1,3592,6
0,0,0,6
8,0,1157,6
7,3,1553,6
136,3,42826,6
51,12,13981,6
33,0,11706,6
36,3,9386,6
14,4,4256,6
7,0,3077,6
3,0,6942,6
82,5,13629,6
135,5,13100,6
64,5,12482,6
12,0,24505,6
0,0,0,6
7,0,82,6
56,0,16940,5
197,23,17804,5
14,0,6721,5
30,4,80716,5
16,4,59583,5
45,3,146429,5
13,0,21301,5
23,7,23333,5
6,0,10979,5
8,1,4774,5
9,0,1849,5
12,0,25470,5
22,4,7891,5
87,17,178094,5
49,6,8002,5
21,9,16068,5
19,6,4982,5
30,2,17600,5
218,43,47914,5
113,69,27130,5
41,3,10037,5
3,0,3571,5
0,0,0,5
5,2,69,5
21,0,1804,5
10,0,42316,5
16,1,47516,5
18,0,11673,5
5,1,10875,5
0,0,0,5
50,0,37435,5
78,2,27607,5
24,1,64301,5
1,0,1459,5
132,1,318590,5
2,0,31,5
3,0,162,5
2,0,788,5
84,9,69841,5
29,2,8282,5
63,6,28952,5
130,6,23052,5
4,0,3777,5
0,0,0,5
5,0,7310,5
23,3,5436,5
21,0,14687,5
34,0,13093,5
11,0,10634,5
0,0,0,5
45,12,21220,5
0,0,0,5
10,4,3577,5
22,2,21447,5
45,1,42006,5
9,0,15500,5
11,1,12322,5
89,8,29388,5
0,0,0,5
116,7,42434,5
47,4,21992,5
6,0,169,5
18,0,60057,5
0,0,0,5
18,1,23674,5
2,1,72,5
69,1,51052,5
8,0,4206,5
211,36,60057,5
2,0,1583,5
0,0,0,5
56,7,10905,5
2,0,1481,5
162,7,85219,5
20,0,7527,5
29,2,27130,5
24,1,38543,5
14,1,19292,5
102,6,27054,5
0,0,0,5
11,0,39311,5
101,5,46486,5
35,1,9436,5
0,0,0,5
112,27,33071,5
40,6,29347,5
282,31,45316,5
21,1,25319,5
28,2,21028,5
26,1,3476,5
43,0,51052,5
8,0,619,5
6,3,1169,5
16,3,13818,5
9,1,19901,5
29,6,54416,5
5,0,14957,5
0,0,0,5
68,23,27054,5
2,0,200,5
0,0,0,5
4,0,7734,5
0,0,0,5
6,0,3972,5
4,0,780,5
0,0,0,5
3,0,2693,5
133,55,39437,5
6,2,24752,5
105,24,55084,5
42,7,4098,5
6,2,1617,5
36,0,30615,5
8,0,464,5
32,1,3946,5
31,0,12463,5
1,0,2503,5
34,13,8313,5
2,0,1383,5
0,0,0,5
7,1,3990,5
11,0,14425,5
14,1,19217,5
4,0,180,5
0,0,0,5
302,9,54416,5
57,11,9231,5
3,0,13015,5
13,1,5396,5
0,0,0,5
196,36,178094,5
0,0,0,5
1,0,187,5
1,0,574,5
0,0,0,5
56,21,12158,5
36,3,1305,5
22,4,48904,5
13,0,6999,5
8,1,9397,5
9,0,349,5
1,0,19,5
5,2,2039,5
118,3,54939,5
10,0,9912,5
19,4,13015,5
41,0,10443,5
145,2,170913,5
8,0,489,5
33,13,109226,5
1,0,26,5
2,0,356,5
2,1,20,5
177,87,10078,5
24,0,39488,5
2,0,82,5
116,47,48647,5
28,3,20645,5
44,1,6932,5
10,1,1338,5
27,6,8555,5
1,0,1285,5
14,1,2164,5
174,52,26916,5
31,4,2259,5
92,15,21028,5
6,0,336,5
20,1,15096,5
44,6,17811,5
9,1,6555,5
32,0,10987,5
0,0,0,5
70,30,14258,5
3,0,1780,5
5,0,3699,5
33,4,11776,5
54,6,24188,5
0,0,0,5
315,86,12099,5
4,0,122305,5
57,1,20391,5
0,0,0,4
17,11,5549,4
0,0,0,4
32,1,8863,4
1,0,199,4
0,0,0,4
5,1,523,4
43,1,23317,4
46,0,47932,4
41,3,22951,4
6,1,7476,4
6,2,1503,4
6,1,272,4
37,0,57150,4
4,0,38,4
59,0,27586,4
37,7,36665,4
59,2,20684,4
10,2,6511,4
7,3,26380,4
58,4,10773,4
0,0,0,4
4,0,566,4
45,1,25938,4
0,0,0,4
0,0,0,4
5,1,359,4
57,0,38222,4
4,0,2600,4
6,0,1780,4
13,1,36665,4
16,2,29979,4
2,0,595,4
11,0,63416,4
7,0,511,4
20,0,42826,4
69,0,42006,4
27,0,52522,4
59,2,42826,4
27,1,58326,4
7,1,3077,4
0,0,0,4
75,7,8738,4
17,6,37448,4
0,0,0,4
20,3,8212,4
10,4,1166,4
51,6,13029,4
3,0,3051,4
12,2,8555,4
1,0,447,4
5,0,2878,4
124,18,109226,4
17,0,5222,4
15,0,11979,4
6,2,138,4
1,0,165,4
50,6,14715,4
29,6,24673,4
21,2,10905,4
109,19,15783,4
0,0,0,4
69,3,9587,4
21,1,3660,4
9,1,1431,4
145,7,25790,4
21,2,153393,4
